english,russian,transcription,example,category,level
speaker,спикер,[ˈspiːkə],This speaker comes from abroad,Человек и общество,B1
refugee,беженец,[ˌrɛfju(ː)ˈʤiː],The old refugee still works perfectly,Человек и общество,B1
cabinet,кабинет министров,[ˈkæbɪnɪt],A new cabinet would be nice,Человек и общество,B1
spokesman,докладчик,[ˈspəʊksmən],The spokesman broke down yesterday,Человек и общество,B2
slave,раб,[sleɪv],My favorite slave is missing,Человек и общество,A2
terror,террор,[ˈtɛrə],Her terror won first prize,Человек и общество,A2
elite,элита,[eɪˈliːt],The elite speaks for itself,Человек и общество,A2
conservative,консерватор,[kənˈsɜːvətɪv],Every conservative has its purpose,Человек и общество,C1
protest,протест,[ˈprəʊtɛst],The protest exceeded expectations,Человек и общество,B1
shelter,приют,[ˈʃɛltə],Our shelter brings joy daily,Человек и общество,B1
tribe,племя,[traɪb],That tribe holds special meaning,Человек и общество,A2
national,национальный,[ˈnæʃənl],The national represents hope,Человек и общество,B1
political,политический,[pəˈlɪtɪkəl],This political symbolizes freedom,Человек и общество,B2
social,социальный,[ˈsəʊʃəl],A rare social was discovered,Человек и общество,A2
public,общественный,[ˈpʌblɪk],The ancient public survived centuries,Человек и общество,A2
military,военный,[ˈmɪlɪtəri],The modern military is innovative,Человек и общество,B1
federal,федеральный,[ˈfɛdərəl],A perfect federal is hard to find,Человек и общество,B1
international,международный,[ˌɪntə(ː)ˈnæʃənl],The international inspires creativity,Человек и общество,C2
foreign,иностранный,[ˈfɒrɪn],Our foreign promotes unity,Человек и общество,B1
democratic,демократический,[ˌdɛməˈkrætɪk],The democratic offers opportunities,Человек и общество,B2
legal,законный,[ˈliːgəl],This legal requires attention,Человек и общество,A2
traditional,традиционный,[trəˈdɪʃənl],The traditional deserves recognition,Человек и общество,C1
cultural,культурный,[ˈkʌlʧərəl],Every cultural contains wisdom,Человек и общество,B1
civil,гражданский,[ˈsɪvl],The civil provides comfort,Человек и общество,A2
safe,безопасный,[seɪf],A beautiful safe emerged,Человек и общество,A2
nuclear,ядерный,[ˈnjuːklɪə],The powerful nuclear transformed lives,Человек и общество,B1
independent,независимый,[ˌɪndɪˈpɛndənt],The delicate independent needs care,Человек и общество,C1
united,объединенный,[jʊˈnaɪtɪd],This unique united stands out,Человек и общество,A2
domestic,домашний,[dəʊˈmɛstɪk],The domestic is absolutely essential,Человек и общество,B1
corporate,корпоративный,[ˈkɔːpərɪt],My corporate needs replacing soon,Человек и общество,B2
urban,городской,[ˈɜːbən],Her urban caught everyone's attention,Человек и общество,A2
regional,региональный,[ˈriːʤənl],This regional belongs to my friend,Человек и общество,B1
ethnic,этнический,[ˈɛθnɪk],Every ethnic tells its own story,Человек и общество,A2
conservative,консервативный,[kənˈsɜːvətɪv],The conservative arrived right on time,Человек и общество,C1
industrial,промышленный,[ɪnˈdʌstrɪəl],Our industrial has seen better days,Человек и общество,B2
historical,исторический,[hɪsˈtɒrɪkəl],Your historical is quite impressive,Человек и общество,B2
presidential,президентский,[ˌprɛzɪˈdɛnʃəl],Their presidential costs a fortune,Человек и общество,C1
liberal,либеральный,[ˈlɪbərəl],A good liberal makes all the difference,Человек и общество,B1
rural,сельский,[ˈrʊərəl],The best rural I've ever seen,Человек и общество,A2
historic,исторический,[hɪsˈtɒrɪk],That historic reminds me of home,Человек и общество,B1
armed,вооруженный,[ɑːmd],This armed comes from abroad,Человек и общество,A2
constitutional,конституционный,[ˌkɒnstɪˈtjuːʃənl],The old constitutional still works perfectly,Человек и общество,C2
strategic,стратегический,[strəˈtiːʤɪk],A new strategic would be nice,Человек и общество,B2
defensive,оборонительный,[dɪˈfɛnsɪv],The defensive broke down yesterday,Человек и общество,B2
joint,совместный,[ʤɔɪnt],My favorite joint is missing,Человек и общество,A2
mutual,взаимный,[ˈmjuːtjʊəl],Her mutual won first prize,Человек и общество,A2
official,официальный,[əˈfɪʃəl],The official speaks for itself,Человек и общество,B1
ally,союзник,[ˈælaɪ],Every ally has its purpose,Человек и общество,A1
army,армия,[ˈɑːmi],The army exceeded expectations,Человек и общество,A1
military,вооруженные силы,[ˈmɪlɪtəri],Our military brings joy daily,Человек и общество,B1
enemy,враг,[ˈɛnɪmi],That enemy holds special meaning,Человек и общество,A2
combat,сражение,[ˈkɒmbæt],The combat represents hope,Человек и общество,A2
strategy,стратегия,[ˈstrætɪʤi],This strategy symbolizes freedom,Человек и общество,B1
tactics,тактика,[ˈtæktɪks],A rare tactics was discovered,Человек и общество,B1
soldier,солдат,[ˈsəʊlʤə],The ancient soldier survived centuries,Человек и общество,B1
officer,офицер,[ˈɒfɪsə],The modern officer is innovative,Человек и общество,B1
troops,войска,[truːps],A perfect troops is hard to find,Человек и общество,A2
victory,победа,[ˈvɪktəri],The victory inspires creativity,Человек и общество,B1
defeat,поражение,[dɪˈfiːt],Our defeat promotes unity,Человек и общество,A2
hero,герой,[ˈhɪərəʊ],The hero offers opportunities,Человек и общество,A1
commander,командир,[kəˈmɑːndə],This commander requires attention,Человек и общество,B2
flag,флаг,[flæg],The flag deserves recognition,Человек и общество,A1
banner,знамя,[ˈbænə],Every banner contains wisdom,Человек и общество,A2
rank,звание,[ræŋk],The rank provides comfort,Человек и общество,A1
war,война,[wɔː],A beautiful war emerged,Человек и общество,A1
battle,битва,[ˈbætl],The powerful battle transformed lives,Человек и общество,A2
shot,выстрел,[ʃɒt],The delicate shot needs care,Человек и общество,A1
fight,борьба,[faɪt],This unique fight stands out,Человек и общество,A2
bomb,бомба,[bɒm],The bomb is absolutely essential,Человек и общество,A1
bullet,пуля,[ˈbʊlɪt],My bullet needs replacing soon,Человек и общество,A2
shell,снаряд,[ʃɛl],Her shell caught everyone's attention,Человек и общество,A2
missile,ракета,['mɪsaɪl],This missile belongs to my friend,Человек и общество,B1
ammunition,боеприпасы,[ˌæmjə'nɪʃ(ə)n] ['æməu],Every ammunition tells its own story,Человек и общество,B2
shooting,стрельба,[ˈʃuːtɪŋ],The shooting arrived right on time,Человек и общество,B1
casualty,жертва,['kæʒjuəltɪ],Our casualty has seen better days,Человек и общество,B1
weapon,оружие,[ˈwɛpən],Your weapon is quite impressive,Человек и общество,A2
gun,пистолет,gʌn],Their gun costs a fortune,Человек и общество,A1
machine gun,пулемет,[məˈʃiːn gʌn],A good machine gun makes all the difference,Человек и общество,C1
rifle,винтовка,[ˈraɪfl],The best rifle I've ever seen,Человек и общество,A2
armor,броня,[ˈɑːmə],That armor reminds me of home,Человек и общество,A2
attack,атака,[əˈtæk],This attack comes from abroad,Человек и общество,A2
general,генерал,[ˈʤɛnərəl],The old general still works perfectly,Человек и общество,B1
division,дивизия,[dɪˈvɪʒən],A new division would be nice,Человек и общество,B1
unit,войсковая единица,[ˈjuːnɪt],The unit broke down yesterday,Человек и общество,A1
TRUE,правдивый,[truː],My favorite true is missing,Человек и общество,A1
wrong,неверный,[rɒŋ],Her wrong won first prize,Человек и общество,A2
nice,хороший,[naɪs],The nice speaks for itself,Человек и общество,A2
popular,популярный,[ˈpɒpjʊlə],Every popular has its purpose,Человек и общество,A2
dangerous,опасный,[ˈdeɪnʤrəs],The dangerous exceeded expectations,Человек и общество,A2
moral,моральный,[ˈmɒrəl],Our moral brings joy daily,Человек и общество,A2
negative,отрицательный,[ˈnɛgətɪv],That negative holds special meaning,Человек и общество,B1
fair,честный,[feə],The fair represents hope,Человек и общество,A1
funny,смешной,[ˈfʌni],This funny symbolizes freedom,Человек и общество,A2
correct,правильный,[kəˈrɛkt],A rare correct was discovered,Человек и общество,B1
just,справедливый,[ʤʌst],The ancient just survived centuries,Человек и общество,A1
terrible,ужасный,[ˈtɛrəbl],The modern terrible is innovative,Человек и общество,A2
criminal,преступный,[ˈkrɪmɪnl],A perfect criminal is hard to find,Человек и общество,B1
guilty,виновный,[ˈgɪlti],The guilty inspires creativity,Человек и общество,A2
illegal,незаконный,[ɪˈliːgəl],Our illegal promotes unity,Человек и общество,B1
violent,жестокий,[ˈvaɪələnt],The violent offers opportunities,Человек и общество,B1
holy,святой,[ˈhəʊli],This holy requires attention,Человек и общество,A1
FALSE,ложный,[fɔːls],The false deserves recognition,Человек и общество,A2
honest,честный,[ˈɒnɪst],Every honest contains wisdom,Человек и общество,A2
teach,учить,[tiːʧ],We've been teaching for hours,Чувства и психология,A1
can,мочь,[kæn],She has caned many times,Чувства и психология,A1
know,знать,[nəʊ],They had knowed before,Чувства и психология,A1
think,думать,[θɪŋk],I will think tomorrow,Чувства и психология,A1
see,видеть,[siː],He would see if he could,Чувства и психология,A1
want,хотеть,[wɒnt],I want every chance I get,Чувства и психология,A1
look,смотреть,[lʊk],She looks more than anyone I know,Чувства и психология,A1
need,нуждаться,[niːd],Her need caught everyone's attention,Чувства и психология,A1
feel,чувствовать,[fiːl],We should feel before it's too late,Чувства и психология,A1
mean,значить,[miːn],He means like a professional,Чувства и психология,A2
seem,казаться,[siːm],The seem arrived right on time,Чувства и психология,A2
hear,слышать,[hɪə],Please hear when you're ready,Чувства и психология,A1
like,нравиться,[laɪk],Your like is quite impressive,Чувства и психология,A1
believe,верить,[bɪˈliːv],I've never believeed anything like this,Чувства и психология,A2
learn,изучать,[lɜːn],She used to learn all the time,Чувства и психология,A1
watch,смотреть,[wɒʧ],They'll watch tomorrow morning,Чувства и психология,A1
read,читать,[riːd],Can you read for me?,Чувства и психология,A1
remember,помнить,[rɪˈmɛmbə],I wish I could remember better,Чувства и психология,A2
love,любить,[lʌv],He loves without thinking,Чувства и психология,A1
decide,решать,[dɪˈsaɪd],We must decide together,Чувства и психология,A2
hope,надеяться,[həʊp],The hope broke down yesterday,Чувства и психология,A2
listen,слушать,[ˈlɪsn],I love to listen on weekends,Чувства и психология,A1
focus,сосредоточиваться,[ˈfəʊkəs],Her focus won first prize,Чувства и психология,A2
plan,планировать,[plæn],They began to plan slowly,Чувства и психология,A2
note,замечать,[nəʊt],Keep noteing until you succeed,Чувства и психология,A1
identify,идентифицировать,[aɪˈdɛntɪfaɪ],I forgot to identify yesterday,Чувства и психология,B1
determine,определять,[dɪˈtɜːmɪn],She promised to determine soon,Чувства и психология,B1
recognize,узнавать,[ˈrɛkəgnaɪz],We learned to recognize properly,Чувства и психология,B1
compare,сравнивать,[kəmˈpeə],He tends to compare too much,Чувства и психология,B1
miss,скучать,[mɪs],You should miss more often,Чувства и психология,A1
study,изучать,[ˈstʌdi],I can't study right now,Чувства и психология,A1
forget,забывать,[fəˈgɛt],She wants to forget someday,Чувства и психология,A2
imagine,воображать,[ɪˈmæʤɪn],They decided to imagine together,Чувства и психология,B1
discover,совершать открытие,[dɪsˈkʌvə],A perfect discover is hard to find,Чувства и психология,B1
worry,беспокоиться,[ˈwʌri],The worry inspires creativity,Чувства и психология,B1
wait,ждать,[weɪt],We finished waiting at noon,Чувства и психология,A2
experience,переживать,[ɪksˈpɪərɪəns],She started experienceing early,Чувства и психология,B2
tend,иметь склонность,[tɛnd],This tend requires attention,Чувства и психология,A1
notice,замечать,[ˈnəʊtɪs],I'm noticeing as we speak,Чувства и психология,A2
wish,желать,[wɪʃ],He was wishing all day,Чувства и психология,A1
figure out,выяснять,[ˈfɪgər aʊt],We've been figure outing for hours,Чувства и психология,B2
suffer,страдать,[ˈsʌfə],She has suffered many times,Чувства и психология,A2
recall,вспоминать,[rɪˈkɔːl],They had recalled before,Чувства и психология,A2
stare,пристально смотреть,[steə],I will stare tomorrow,Чувства и психология,A2
examine,проверять,[ɪgˈzæmɪn],He would examine if he could,Чувства и психология,C1
define,определять,[dɪˈfaɪn],I define every chance I get,Чувства и психология,A2
observe,наблюдать,[əbˈzɜːv],She observes more than anyone I know,Чувства и психология,B1
count,считать,[kaʊnt],They counted all night long,Чувства и психология,A2
associate,ассоциировать,[əˈsəʊʃɪeɪt],We should associate before it's too late,Чувства и психология,B2
view,смотреть,[vjuː],He views like a professional,Чувства и психология,A1
remind,напоминать,[ˈrɪmaɪnd],You need to remind carefully,Чувства и психология,A2
hate,ненавидеть,[heɪt],Please hate when you're ready,Чувства и психология,A1
intend,намереваться,[ɪnˈtɛnd],Your intend is quite impressive,Чувства и психология,A2
explore,исследовать,[ɪksˈplɔː],I've never exploreed anything like this,Чувства и психология,B1
predict,предсказывать,[prɪˈdɪkt],She used to predict all the time,Чувства и психология,B1
acknowledge,признавать,[əkˈnɒlɪʤ],They'll acknowledge tomorrow morning,Чувства и психология,B2
fear,бояться,[fɪə],That fear reminds me of home,Чувства и психология,B1
conclude,делать вывод,[kənˈkluːd],This conclude comes from abroad,Чувства и психология,B1
prefer,предпочитать,[priˈfɜː],He prefers without thinking,Чувства и психология,A2
appreciate,ценить,[əˈpriːʃɪeɪt],We must appreciate together,Чувства и психология,B1
trust,доверять,[trʌst],Stop trusting immediately!,Чувства и психология,B1
rely on,полагаться на,[rɪˈlaɪ ɒn],My favorite rely on is missing,Чувства и психология,B1
question,подвергать сомнению,[ˈkwɛsʧən],Her question won first prize,Чувства и психология,A2
regard,учитывать,[rɪˈgɑːd],They began to regard slowly,Чувства и психология,A2
suspect,подозревать,[səsˈpɛkt],Keep suspecting until you succeed,Чувства и психология,B1
suppose,предполагать,[səˈpəʊz],I forgot to suppose yesterday,Чувства и психология,B1
perceive,воспринимать,[pəˈsiːv],She promised to perceive soon,Чувства и психология,B1
inspire,вдохновлять,[ɪnˈspaɪə],We learned to inspire properly,Чувства и психология,B1
analyze,анализировать,[ˈænəlaɪz],He tends to analyze too much,Чувства и психология,B1
concentrate,сосредоточиваться,[ˈkɒnsəntreɪt],This concentrate symbolizes freedom,Чувства и психология,C1
smell,нюхать,[smɛl],I can't smell right now,Чувства и психология,A2
glance,смотреть,[glɑːns],She wants to glance someday,Чувства и психология,A2
dream,мечтать,[driːm],They decided to dream together,Чувства и психология,A2
react,реагировать,[ri(ː)ˈækt],I remember reacting as a child,Чувства и психология,A2
choose,выбирать,[ʧuːz],He enjoys chooseing alone,Чувства и психология,A2
expect,ожидать,[ɪksˈpɛkt],We finished expecting at noon,Чувства и психология,A2
miss,упускать,[mɪs],She started missing early,Чувства и психология,A1
realize,реализовать,[ˈrɪəlaɪz],They continued realizeing despite difficulties,Чувства и психология,B1
problem,проблема,[ˈprɒbləm],The problem deserves recognition,Чувства и психология,A2
fact,факт,[fækt],Every fact contains wisdom,Чувства и психология,A1
issue,вопрос,[ˈɪʃuː],The issue provides comfort,Чувства и психология,A2
information,информация,[ˌɪnfəˈmeɪʃən],A beautiful information emerged,Чувства и психология,C1
result,результат,[rɪˈzʌlt],The powerful result transformed lives,Чувства и психология,A2
reason,причина,[ˈriːzn],The delicate reason needs care,Чувства и психология,A2
decision,решение,[dɪˈsɪʒən],This unique decision stands out,Чувства и психология,B1
matter,дело,[ˈmætə],The matter is absolutely essential,Чувства и психология,A2
type,тип,[taɪp],My type needs replacing soon,Чувства и психология,A1
rule,правило,[ruːl],Her rule caught everyone's attention,Чувства и психология,A1
goal,цель,[gəʊl],This goal belongs to my friend,Чувства и психология,A1
factor,фактор,[ˈfæktə],Every factor tells its own story,Чувства и психология,A2
approach,подход,[əˈprəʊʧ],The approach arrived right on time,Чувства и психология,B1
option,вариант,[ˈɒpʃən],Our option has seen better days,Чувства и психология,A2
version,версия,[ˈvɜːʃən],Your version is quite impressive,Чувства и психология,B1
solution,решение,[səˈluːʃən],Their solution costs a fortune,Чувства и психология,A2
mistake,ошибка,[mɪsˈteɪk],A good mistake makes all the difference,Чувства и психология,B1
category,категория,[ˈkætɪgəri],The best category I've ever seen,Чувства и психология,B1
finding,находка,[ˈfaɪndɪŋ],That finding reminds me of home,Чувства и психология,B1
search,поиск,[sɜːʧ],This search comes from abroad,Чувства и психология,A2
importance,важность,[ɪmˈpɔːtəns],The old importance still works perfectly,Чувства и психология,B2
cause,причина,[kɔːz],A new cause would be nice,Чувства и психология,A2
effect,следствие,[ɪˈfɛkt],The effect broke down yesterday,Чувства и психология,A2
conclusion,вывод,[kənˈkluːʒən],My favorite conclusion is missing,Чувства и психология,B2
notion,идея,[ˈnəʊʃən],Her notion won first prize,Чувства и психология,A2
definition,определение,[ˌdɛfɪˈnɪʃən],The definition speaks for itself,Чувства и психология,B2
priority,приоритет,[praɪˈɒrɪti],Every priority has its purpose,Чувства и психология,B1
exception,исключение,[ɪkˈsɛpʃən],The exception exceeded expectations,Чувства и психология,B2
feature,особенность,[ˈfiːʧə],Our feature brings joy daily,Чувства и психология,B1
comparison,сравнение,[kəmˈpærɪsn],That comparison holds special meaning,Чувства и психология,B2
relation,отношение,[rɪˈleɪʃən],The relation represents hope,Чувства и психология,B1
criteria,критерий,[kraɪˈtɪərɪə],This criteria symbolizes freedom,Чувства и психология,B1
idea,идея,[aɪˈdɪə],A rare idea was discovered,Чувства и психология,A2
mind,разум,[maɪnd],The ancient mind survived centuries,Чувства и психология,A2
attention,внимание,[əˈtɛnʃ(ə)n],The modern attention is innovative,Чувства и психология,B2
thought,мысль,[θɔːt],A perfect thought is hard to find,Чувства и психология,A2
memory,память,[ˈmɛməri],He enjoys memorying alone,Чувства и психология,A2
opinion,мнение,[əˈpɪnjən],Our opinion promotes unity,Чувства и психология,B1
vision,видение,[ˈvɪʒən],The vision offers opportunities,Чувства и психология,A2
intelligence,интеллект,[ɪnˈtɛlɪʤəns],This intelligence requires attention,Чувства и психология,C1
focus,центр,[ˈfəʊkəs],The focus deserves recognition,Чувства и психология,A2
will,воля,[wɪl],Every will contains wisdom,Чувства и психология,A1
thinking,мышление,[ˈθɪŋkɪŋ],The thinking provides comfort,Чувства и психология,B1
perception,восприятие,[pəˈsɛpʃən],A beautiful perception emerged,Чувства и психология,B2
doubt,сомнение,[daʊt],The powerful doubt transformed lives,Чувства и психология,B1
reflection,размышление,[rɪˈflɛkʃən],The delicate reflection needs care,Чувства и психология,B2
insight,прозрение,[ˈɪnsaɪt],This unique insight stands out,Чувства и психология,B1
imagination,воображение,[ɪˌmæʤɪˈneɪʃən],The imagination is absolutely essential,Чувства и психология,C1
capability,способность,[ˌkeɪpəˈbɪlɪti],My capability needs replacing soon,Чувства и психология,B2
fantasy,фантазия,[ˈfæntəsi],Her fantasy caught everyone's attention,Чувства и психология,B1
sense,смысл,[sɛns],This sense belongs to my friend,Чувства и психология,A2
interest,интерес,[ˈɪntrɪst],Every interest tells its own story,Чувства и психология,B1
meaning,значение,[ˈmiːnɪŋ],The meaning arrived right on time,Чувства и психология,B1
interpretation,интерпретация,[ɪnˌtɜːprɪˈteɪʃən],Our interpretation has seen better days,Чувства и психология,C2
assumption,предположение,[əˈsʌmpʃ(ə)n],Your assumption is quite impressive,Чувства и психология,B2
perspective,точка зрения,[pəˈspɛktɪv],Their perspective costs a fortune,Чувства и психология,C1
planning,планирование,[ˈplænɪŋ],A good planning makes all the difference,Чувства и психология,B1
recognition,узнавание,[ˌrɛkəgˈnɪʃən],The best recognition I've ever seen,Чувства и психология,C1
consideration,рассмотрение,[kənˌsɪdəˈreɪʃən],That consideration reminds me of home,Чувства и психология,C2
intention,намерение,[ɪnˈtɛnʃən],This intention comes from abroad,Чувства и психология,B2
awareness,осведомленность,[əˈweənəs],The old awareness still works perfectly,Чувства и психология,B2
controversy,противоречие,[ˈkɒntrəvɜːsi],A new controversy would be nice,Чувства и психология,C1
distinction,различие,[dɪsˈtɪŋkʃən],The distinction broke down yesterday,Чувства и психология,C1
variation,разновидность,[ˌveərɪˈeɪʃən],My favorite variation is missing,Чувства и психология,B2
list,список,[lɪst],Her list won first prize,Чувства и психология,A1
expectation,ожидание,[ˌɛkspɛkˈteɪʃən],The expectation speaks for itself,Чувства и психология,C1
initiative,инициатива,[ɪˈnɪʃɪətɪv],Every initiative has its purpose,Чувства и психология,B2
psychology,психология,[saɪˈkɒləʤi],The psychology exceeded expectations,Чувства и психология,B2
potential,потенциал,[pəʊˈtɛnʃəl],Our potential brings joy daily,Чувства и психология,B2
choice,выбор,[ʧɔɪs],That choice holds special meaning,Чувства и психология,A2
burden,бремя,[ˈbɜːdn],The burden represents hope,Чувства и психология,A2
significance,значимость,[sɪgˈnɪfɪkəns],This significance symbolizes freedom,Чувства и психология,C1
experience,опыт,[ɪksˈpɪərɪəns],A rare experience was discovered,Чувства и психология,B2
subject,субъект,[ˈsʌbʤɪkt],The ancient subject survived centuries,Чувства и психология,B1
behavior,поведение,[bɪˈheɪvjə],The modern behavior is innovative,Чувства и психология,B1
concern,забота,[kənˈsɜːn],A perfect concern is hard to find,Чувства и психология,B1
truth,правда,[truːθ],The truth inspires creativity,Чувства и психология,A2
lie,неправда,[laɪ],Our lie promotes unity,Чувства и психология,B1
purpose,цель,[ˈpɜːpəs],The purpose offers opportunities,Чувства и психология,B1
honor,честь,[ˈɒnə],This honor requires attention,Чувства и психология,A2
objective,цель,[əbˈʤɛktɪv],The objective deserves recognition,Чувства и психология,B2
feeling,чувство,[ˈfiːlɪŋ],Every feeling contains wisdom,Чувства и психология,A2
fear,страх,[fɪə],The fear provides comfort,Чувства и психология,B1
dream,мечта,[driːm],A beautiful dream emerged,Чувства и психология,A2
hope,надежда,[həʊp],The powerful hope transformed lives,Чувства и психология,A2
drive,воодушевление,[draɪv],The delicate drive needs care,Чувства и психология,A2
desire,желание,[dɪˈzaɪə],This unique desire stands out,Чувства и психология,A2
confidence,уверенность,[ˈkɒnfɪdəns],The confidence is absolutely essential,Чувства и психология,B2
depression,депрессия,[dɪˈprɛʃən],My depression needs replacing soon,Чувства и психология,B2
passion,страсть,[ˈpæʃən],Her passion caught everyone's attention,Чувства и психология,B1
habit,привычка,[ˈhæbɪt],This habit belongs to my friend,Чувства и психология,A2
anger,гнев,[ˈæŋgə],Every anger tells its own story,Чувства и психология,A2
anxiety,тревожность,[æŋˈzaɪəti],The anxiety arrived right on time,Чувства и психология,B1
impression,впечатление,[ɪmˈprɛʃən],Our impression has seen better days,Чувства и психология,B2
terror,ужас,[ˈtɛrə],Your terror is quite impressive,Чувства и психология,A2
satisfaction,удовлетворение,[ˌsætɪsˈfækʃən],Their satisfaction costs a fortune,Чувства и психология,C1
pride,гордость,[praɪd],A good pride makes all the difference,Чувства и психология,A2
joy,радость,[ʤɔɪ],The best joy I've ever seen,Чувства и психология,A1
fault,вина,[fɔːlt],That fault reminds me of home,Чувства и психология,A2
emotion,эмоции,[ɪˈməʊʃən],This emotion comes from abroad,Чувства и психология,B1
mood,настроение,[muːd],The old mood still works perfectly,Чувства и психология,A1
stress,стресс,[strɛs],A new stress would be nice,Чувства и психология,A2
attitude,отношение,[ˈætɪtjuːd],The attitude broke down yesterday,Чувства и психология,B1
pleasure,удовольствие,[ˈplɛʒə],My favorite pleasure is missing,Чувства и психология,B1
luck,удача,[lʌk],Her luck won first prize,Чувства и психология,A1
love,любовь,[lʌv],The love speaks for itself,Чувства и психология,A1
friendship,дружба,[ˈfrɛndʃɪp],Every friendship has its purpose,Чувства и психология,B2
fine,изящный,[faɪn],The fine exceeded expectations,Чувства и психология,A2
dark,темный,[dɑːk],Our dark brings joy daily,Чувства и психология,A2
beautiful,красивый,[ˈbjuːtəfʊl],That beautiful holds special meaning,Чувства и психология,B2
light,светлый,[laɪt],The light represents hope,Чувства и психология,A2
bright,яркий,[braɪt],This bright symbolizes freedom,Чувства и психология,A2
warm,теплый,[wɔːm],A rare warm was discovered,Чувства и психология,A1
sweet,сладкий,[swiːt],The ancient sweet survived centuries,Чувства и психология,A2
visible,видимый,[ˈvɪzəbl],The modern visible is innovative,Чувства и психология,B1
hot,острый,[hɒt],A perfect hot is hard to find,Чувства и психология,A1
ugly,отвратительный,[ˈʌgli],The ugly inspires creativity,Чувства и психология,A1
bitter,горький,[ˈbɪtə],Our bitter promotes unity,Чувства и психология,A2
supposed,предполагаемый,[səˈpəʊzd],The supposed offers opportunities,Чувства и психология,B1
appropriate,подходящий,[əˈprəʊprɪɪt],This appropriate requires attention,Чувства и психология,C1
relevant,релевантный,[ˈrɛlɪvənt],The relevant deserves recognition,Чувства и психология,B1
unknown,неизвестный,[ʌnˈnəʊn],Every unknown contains wisdom,Чувства и психология,B1
secret,тайный,[ˈsiːkrɪt],The secret provides comfort,Чувства и психология,A2
consistent,последовательный,[kənˈsɪstənt],A beautiful consistent emerged,Чувства и психология,B2
alternative,альтернативный,[ɔːlˈtɜːnətɪv],The powerful alternative transformed lives,Чувства и психология,C1
ultimate,окончательный,[ˈʌltɪmɪt],The delicate ultimate needs care,Чувства и психология,B1
comprehensive,всеобъемлющий,[ˌkɒmprɪˈhɛnsɪv],This unique comprehensive stands out,Чувства и психология,B2
sleep,спать,[sliːp],I sleep every chance I get,Дом и быт,A2
dress,одевать,[drɛs],She dresss more than anyone I know,Дом и быт,A2
wake up,будить,[weɪk ʌp],They wake uped all night long,Дом и быт,B1
eat,есть,[iːt],This eat belongs to my friend,Дом и быт,A1
drink,пить,[drɪŋk],He drinks like a professional,Дом и быт,A1
feed,кормить,[fiːd],You need to feed carefully,Дом и быт,A1
cook,готовить пищу,[kʊk],Our cook has seen better days,Дом и быт,A1
taste,пробовать на вкус,[teɪst],Your taste is quite impressive,Дом и быт,A2
bake,печь,[beɪk],I've never bakeed anything like this,Дом и быт,A1
freeze,замораживать,[friːz],She used to freeze all the time,Дом и быт,A2
play,играть в игру или на музыкальном инструменте,[pleɪ],The best play I've ever seen,Дом и быт,A1
spend,проводить,[spɛnd],Can you spend for me?,Дом и быт,A2
enjoy,наслаждаться,[ɪnˈʤɔɪ],This enjoy comes from abroad,Дом и быт,A2
visit,навещать,[ˈvɪzɪt],He visits without thinking,Дом и быт,A2
travel,путешествовать,[ˈtrævl],We must travel together,Дом и быт,A2
rest,отдыхать,[rɛst],Stop resting immediately!,Дом и быт,A1
dance,танцевать,[dɑːns],I love to dance on weekends,Дом и быт,A2
celebrate,праздновать,[ˈsɛlɪbreɪt],She refuses to celebrate anymore,Дом и быт,B2
bet,делать ставку,[bɛt],The bet speaks for itself,Дом и быт,A1
relax,расслабляться,[rɪˈlæks],Every relax has its purpose,Дом и быт,B1
gamble,играть в азартные игры,[ˈgæmbl],The gamble exceeded expectations,Дом и быт,A2
have fun,развлекаться,[həv fʌn],Our have fun brings joy daily,Дом и быт,B1
home,дом,[həʊm],That home holds special meaning,Дом и быт,A1
room,комната,[ruːm],The room represents hope,Дом и быт,A1
house,дом,[haʊs],This house symbolizes freedom,Дом и быт,A1
door,дверь,[dɔː],A rare door was discovered,Дом и быт,A1
view,вид,[vjuː],The ancient view survived centuries,Дом и быт,A1
table,стол,[ˈteɪbl],The modern table is innovative,Дом и быт,A1
court,дворик,[kɔːt],A perfect court is hard to find,Дом и быт,A2
wall,стена,[wɔːl],The wall inspires creativity,Дом и быт,A1
window,окно,[ˈwɪndəʊ],Our window promotes unity,Дом и быт,A1
floor,пол,[flɔː],The floor offers opportunities,Дом и быт,A2
bed,кровать,[bɛd],They continued beding despite difficulties,Дом и быт,A1
chair,стул,[ʧeə],The chair deserves recognition,Дом и быт,A1
garden,сад,[ˈgɑːdn],Every garden contains wisdom,Дом и быт,A2
kitchen,кухня,[ˈkɪʧɪn],The kitchen provides comfort,Дом и быт,B1
bedroom,спальня,[ˈbɛdru(ː)m],A beautiful bedroom emerged,Дом и быт,B1
living room,гостиная,[ˈlɪvɪŋ ruːm],The powerful living room transformed lives,Дом и быт,C1
bathroom,туалет,[ˈbɑːθru(ː)m],The delicate bathroom needs care,Дом и быт,B1
basement,подвал,[ˈbeɪsmənt],This unique basement stands out,Дом и быт,B1
fan,вентилятор,[fæn],The fan is absolutely essential,Дом и быт,A1
spot,пятно,[spɒt],My spot needs replacing soon,Дом и быт,A1
screen,экран,[skriːn],Her screen caught everyone's attention,Дом и быт,A2
flat apartment,квартира,[flæt] [əˈpɑːtmənt],This flat apartment belongs to my friend,Дом и быт,C2
